Vendor_Code,Vendor_Name,Vendor_Type,PAN,GSTIN,Resident,LDC_Available,LDC_Rate,LDC_Valid_From,LDC_Valid_To,Blocked,Active,MSME
A0231D,Federation of Indian Chambers of Commerce,Association,FEDAE5542K,24FEDAE5542K6Z3,N,N,,,,N,Y,N
A0232B,Indian Machine Tool Manufacturers Association,Association,INDAN5263D,36INDAN5263D7Z2,Y,N,,,,N,Y,N
A0233E,Electronics Industries Association of India,Association,ELEAA6571Z,06ELEAA6571Z3Z8,Y,N,,,,N,Y,N
A0234E,Builders Association of India,Association,BUIAA9240B,32BUIAA9240B8ZM,Y,N,,,,N,Y,N
A0235A,Indian Plumbing Association,Association,INDAN2484H,19INDAN2484H8Z8,Y,N,,,,N,Y,N
BLK0236E,Orion Blocked Vendors Pvt Ltd,Company,ORICD7193A,24ORICD7193A2ZK,Y,N,,,,Y,N,N
BLK0237B,Sunset Blocked Fabricators,Firm,SUNFS4454K,24SUNFS4454K7ZO,Y,N,,,,Y,N,N
NPN0238G,Horizon Missing PAN Services Pvt Ltd,Company,HORCD7173G,23HORCD7173G2Z1,Y,N,,,,N,Y,N
NPN0239G,Eastern Freight NoPAN Logistics,Firm,EASFS4485Z,09EASFS4485Z7Z1,Y,N,,,,N,Y,N
NPN0240G,Karan Missingpan Sharma,Individual,KARPA5351N,19KARPA5351N3ZU,Y,N,,,,N,Y,N
LDC0241A,Lower Deduction Certificate Ltd,Company,LOWCD2468H,32LOWCD2468H7Z2,Y,Y,1.0,4/1/2026,3/31/2027,N,Y,N
LDC0242H,LDC Rate Engineering Works,Firm,LDCFS0783X,23LDCFS0783X8ZY,Y,Y,0.5,4/1/2026,3/31/2027,N,Y,N
LDC0243G,Expired LDC Consulting Pvt Ltd,Company,EXPCD5434U,09EXPCD5434U2ZT,Y,Y,1.0,4/1/2025,3/31/2026,N,Y,N
QTH0244D,Threshold Goods Suppliers Pvt Ltd,Company,THRCD7444Y,29THRCD7444Y4ZC,Y,N,,,,N,Y,N
QTH0245F,Mega Purchase Components Ltd,Company,MEGCD2355D,24MEGCD2355D1ZQ,Y,N,,,,N,Y,N
QTH0246F,Below Threshold Parts India Ltd,Company,BELCD0690T,24BELCD0690T2ZF,Y,N,,,,N,Y,N
ADV0247A,Advance Payment Contractors Pvt Ltd,Company,ADVCD8622X,36ADVCD8622X8Z0,Y,N,,,,N,Y,N
ADV0248A,Partial Advance Builders,Firm,PARFS8243S,32PARFS8243S3ZS,Y,N,,,,N,Y,N
DUP0249E,Duplicate Invoice Systems Ltd,Company,DUPCD6474G,29DUPCD6474G4Z5,Y,N,,,,N,Y,N
DUP0250B,Duplicate Payment Traders,Firm,DUPFS9722M,32DUPFS9722M9ZR,Y,N,,,,N,Y,N
CRN0251D,Credit Note Solutions Pvt Ltd,Company,CRECD8281T,33CRECD8281T1ZX,Y,N,,,,N,Y,N
DBN0252H,Debit Note Materials Ltd,Company,DEBCD6434Z,33DEBCD6434Z4ZJ,Y,N,,,,N,Y,N
REV0253F,Reverse Entry Services Pvt Ltd,Company,REVCD1178E,21REVCD1178E2ZP,Y,N,,,,N,Y,N
ADJ0254G,Adjustment Entry Works,Firm,ADJFS8290B,32ADJFS8290B5Z0,Y,N,,,,N,Y,N
GST0255C,GSTIN Present PAN Blank Ltd,Company,GSTCD2177O,36GSTCD2177O1ZR,Y,N,,,,N,Y,N
WRG0256B,Wrong Section Mapping Pvt Ltd,Company,WROCD4607S,33WROCD4607S9Z9,Y,N,,,,N,Y,N
WRG0257C,Wrong Rate Contractors,Firm,WROFS4825X,23WROFS4825X2ZL,Y,N,,,,N,Y,N
GLX0258E,Wrong GL Mapping Services Ltd,Company,WROCD2387Z,24WROCD2387Z6ZD,Y,N,,,,N,Y,N
MIX0259D,Mixed Issues Engineering Ltd,Company,MIXCD6355P,23MIXCD6355P4Z9,Y,N,,,,N,Y,N
MUL0260H,Multi Invoice Vendor Pvt Ltd,Company,MULCD3317H,23MULCD3317H4ZC,Y,N,,,,N,Y,N
